hour,minute,second,Irms,Vrms,Prms,
2,8,37,0.24,82.1,4.18,
2,8,37,0.28,81,22.59,
2,8,37,8,81.44,6.55,
2,8,37,0.24,81.69,19.64,
2,8,37,0.35,80.41,28.51,
2,8,37,0.34,80.45,27.12,
2,8,37,0.33,81.43,26.76,
2,8,37,0.05,82.1,4.18,
2,8,37,0.28,81,22.59,
2,8,37,0.15,81.53,12.56,
2,8,37,0.13,81.09,10.72,
2,8,37,0.33,80.9,26.38,
2,8,37,0.34,79.65,26.86,
2,8,38,0.33,80.33,26.49,
2,8,38,0.09,81.19,6.99,
