hour,minute,second,Irms,Vrms,Prms,
2,8,48,0.81,3,27.22,
2,8,48,0.13,82.54,10.34,
2,8,48,0.2,82.19,16.77,
2,8,48,0.2,81.67,26.84,
2,8,48,0.05,82.24,3.76,
2,8,48,0.29,81.25,23.37,
2,8,48,0.34,80.4,27.11,
2,8,48,0.34,81.03,27.22,
2,8,48,0.13,82.54,10.34,
2,8,48,0.2,82.19,16.77,
2,8,48,0.16,81.61,12.89,
2,8,49,0.17,80.97,13.54,
2,8,49,0.34,81.23,27.5,
2,8,49,0.34,80.27,27.06,
2,8,49,0.32,82.12,26.58,
