hour,minute,second,Irms,Vrms,Prms
2,28,46,399.85,"
",
2,28,46,2.39,81.60,194.98
2,28,46,7.88,80.33,632.93
2,28,46,6.22,81.69,508.22
2,28,46,2.30,81.54,187.67
2,28,46,93.96,"
",
2,28,46,7.99,79.86,638.16
2,28,46,6.13,81.49,499.85
2,28,46,2.39,81.60,194.98
2,28,46,7.88,80.33,632.93
2,28,46,6.22,81.69,508.22
2,28,46,2.30,81.54,187.67
2,28,46,93.96,"
",
2,28,46,7.99,79.86,638.16
2,28,46,6.13,81.49,499.85
2,28,46,2.39,81.60,194.98
2,28,46,7.88,80.33,632.93
2,28,46,6.22,81.69,508.22
,,,,,
