hour,minute,second,Irms,Vrms,Prms
2,52,10,0.00,0.00,"
"
2,52,10,0.01,83.72,0.44
2,52,10,0.00,81.20,0.00
2,52,10,0.00,83.35,0.00
2,52,10,0.00,84.74,0.00
2,52,10,"
",,
2,52,10,0.01,83.70,0.44
2,52,10,0.00,84.26,0.00
2,52,10,0.00,84.89,0.00
2,52,10,0.01,83.72,0.44
2,52,10,0.00,81.20,0.00
2,52,10,0.00,83.35,0.00
2,52,10,0.00,84.74,0.00
2,52,10,"
",,
2,52,10,0.01,83.70,0.44
2,52,10,0.00,84.26,0.00
2,52,10,0.00,84.89,0.00
,,,,,
