hour,minute,second,Irms,Vrms,Prms
2,20,36,"8.10
",,
2,20,36,8.09,80.31,649.65
2,20,36,4.91,82.06,403.25
2,20,36,1.88,81.88,154.28
2,20,36,6.84,80.62,551.13
2,20,36,7.74,80.58,623.86
2,20,36,94.60,"
",
2,20,36,5.74,80.30,461.21
2,20,36,8.09,80.31,649.65
2,20,36,4.91,82.06,403.25
2,20,36,1.88,81.88,154.28
2,20,36,6.84,80.62,551.13
2,20,36,7.74,80.58,623.86
2,20,36,94.60,"
",
2,20,36,5.74,80.30,461.21
2,20,36,8.09,80.31,649.65
2,20,36,4.91,82.06,403.25
2,20,36,1.88,81.88,154.28
,,,,,
