hour,minute,second,Irms,Vrms,Prms
2,6,30,0.19,80.37,15.52
2,6,30,0.30,79.79,23.84
2,6,30,0.36,79.28,28.40
2,6,30,0.34,79.65,26.85
2,6,30,,80.51,26.65
2,6,30,0.18,81.08,15.00
2,6,30,0.05,80.85,4.20
2,6,30,0.19,80.37,15.52
2,6,30,0.30,79.79,23.84
2,6,30,0.36,79.28,28.40
2,6,30,0.34,79.65,26.85
2,6,30,0.34,79.72,26.88
2,6,30,0.33,80.94,26.89
2,6,30,0.11,79.62,8.86
2,6,30,0.03,79.53,2.34
,,,,,
