hour,minute,second,Irms,Vrms,Prms
2,52,21,0.00,83.99,0.00
2,52,21,0.00,83.15,0.00
2,52,21,0.00,82.59,0.00
2,52,21,0.01,83.33,0.44
2,52,21,"
",,
2,52,21,0.00,82.68,0.00
2,52,21,0.00,83.05,0.00
2,52,21,0.00,84.60,0.00
2,52,21,0.00,83.99,0.00
2,52,21,0.00,83.15,0.00
2,52,21,0.00,82.59,0.00
2,52,21,0.01,83.33,0.44
2,52,21,"
",,
2,52,21,0.00,82.68,0.00
2,52,21,0.00,83.05,0.00
2,52,21,0.00,84.60,0.00
2,52,21,0.00,83.99,0.00
,,,,,
