hour,minute,second,Irms,Vrms,Prms,
2,7,13,0.31,31,3.54,
2,7,13,0.12,81.07,10.03,
2,7,13,0.23,80.73,18.78,
2,7,13,0.28,80.51,22.31,
2,7,13,0.31,80.51,24.8,
2,7,13,0.34,80.05,27.11,
2,7,13,6,80.11,4.86,
2,7,13,0.04,81.31,3.54,
2,7,13,0.12,81.07,10.03,
2,7,13,0.23,80.73,18.78,
2,7,13,0.28,80.51,22.31,
2,7,13,0.31,80.51,24.8,
2,7,13,0.34,80.05,27.11,
2,7,13,0.33,80.37,26.9,
2,7,13,0.33,80.83,26.76,
